No,Stasiun,Singkatan,Wilayah,Transaksi,1_Okt,2_Okt,3_Okt,4_Okt,5_Okt,6_Okt,7_Okt,8_Okt,9_Okt,10_Okt,11_Okt,12_Okt,13_Okt,14_Okt,15_Okt,16_Okt,17_Okt,18_Okt,19_Okt,20_Okt,21_Okt,22_Okt,23_Okt,24_Okt,25_Okt,26_Okt,27_Okt,28_Okt,29_Okt,30_Okt,31_Okt,Total_Volume
58,KEPANJEN,KPN,WILAYAH 8,GO SHOW + KAI ACCESS,508.0,423.0,471.0,415.0,445.0,505.0,501.0,541.0,438.0,402.0,356.0,387.0,461.0,485.0,552.0,424.0,404.0,358.0,429.0,439.0,458.0,551.0,395.0,392.0,347.0,470.0,519.0,492.0,619.0,503.0,427.0,14117
59,PAKISAJI,PSI,WILAYAH 8,PELAYANAN KA,62.0,32.0,39.0,34.0,23.0,52.0,42.0,78.0,50.0,48.0,44.0,32.0,38.0,48.0,60.0,32.0,41.0,29.0,40.0,38.0,30.0,40.0,33.0,41.0,47.0,33.0,54.0,37.0,38.0,66.0,40.0,1321
60,MALANGKOTALAMA,MLK,WILAYAH 8,GO SHOW + KAI ACCESS,323.0,267.0,258.0,275.0,293.0,331.0,271.0,331.0,322.0,258.0,282.0,282.0,380.0,264.0,316.0,242.0,285.0,269.0,282.0,351.0,282.0,398.0,276.0,330.0,248.0,326.0,282.0,302.0,310.0,255.0,327.0,9218
61,SUMBERPUCUNG,SBP,WILAYAH 8,KAI ACCESS,172.0,125.0,443.0,95.0,122.0,103.0,102.0,141.0,150.0,103.0,76.0,95.0,113.0,118.0,136.0,117.0,79.0,109.0,83.0,69.0,113.0,141.0,135.0,129.0,125.0,102.0,105.0,92.0,140.0,118.0,101.0,3852
TOTAL,,,,,43625.0,35861.0,31943.0,30457.0,33404.0,38117.0,41849.0,43872.0,36651.0,31471.0,32253.0,32617.0,37943.0,41401.0,43322.0,35867.0,32120.0,32123.0,33269.0,38390.0,40789.0,43155.0,35627.0,32838.0,31551.0,34651.0,38889.0,40580.0,42556.0,35099.0,31693.0,1133983
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,WILAYAH 1,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,WILAYAH 2,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,WILAYAH 6,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
,,,WILAYAH 8,,39371.0,32134.0,28288.0,27533.0,30683.0,34813.0,38229.0,39539.0,32942.0,28482.0,29394.0,29677.0,34800.0,37474.0,39106.0,32258.0,29062.0,29015.0,30184.0,35115.0,37084.0,38892.0,31973.0,29433.0,28386.0,31443.0,35785.0,36789.0,38469.0,31364.0,28359.0,1026076
